Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1015153.468,2.29998285293579,1999.87391601562,210.362808227539,0.0625201788544655
1015173.937,2.300096616745,1999.88262695313,213.354843139648,0.0637161380052566
1015193.765,2.28903891563416,1999.89809570312,216.340225219727,0.0644180473685265
1015214.125,2.29705177307129,1999.87970703125,219.332260131836,0.0698952335119247
1015233.937,2.30080933570862,1999.89521484375,222.324295043945,0.0728270542621613
1015254.281,2.30068554878235,1999.89084960938,225.316329956055,0.0761207282543182
1015274.281,2.30131143569946,1999.87922851563,228.308364868164,0.0795070099830627
1015294.625,2.29670163154602,1999.88264648438,231.300399780273,0.0818136873841286
1015314.437,2.30100351333618,1999.88890625,234.285781860352,0.0852692580223084
1015334.375,2.30022492408752,1999.86762695313,237.277816772461,0.0873101118206978
1015354.546,2.29984942436218,1999.86810546875,240.26985168457,0.0900136631727219
1015374.515,2.30027270317078,1999.89759765625,243.26188659668,0.0920280852913856
1015394.312,2.30013906478882,1999.87780273438,246.253921508789,0.0938933169841766
1015414.25,2.30000797271729,1999.8821484375,249.245956420898,0.0954600527882576
1015434.14,2.30013536453247,1999.88940429688,252.237991333008,0.0964072418212891
1015454.062,2.30275888442993,1999.8874609375,255.223373413086,0.0988968330621719
1015475.531,2.30091316223145,1999.87051757812,258.215423583984,0.0987583574652672
1015495.5,2.30046358108521,1999.8927734375,261.207458496094,0.0995557317137718
1015515.312,2.3008078956604,1999.89859375,264.199493408203,0.0998998308181763
1015535.671,2.30754235267639,1999.861796875,267.191528320313,0.101512996256351
1015555.296,2.3016854763031,1999.88213867188,270.183563232422,0.100817718505859
1015575.406,2.30084453582764,1999.88115234375,273.175598144531,0.100522052645683
1015595.671,2.30061503410339,1999.89280273438,276.160980224609,0.100447346866131
1015615.515,2.29990591049194,1999.95573242187,279.153015136719,0.10022849470377
1015635.25,2.30008414268494,2000.18380371094,282.145050048828,0.0999921646714211
1015655.156,2.30095182418823,2000.01965332031,285.137084960938,0.100000315904617
1015675.5,2.30008226394653,1999.89037597656,288.129119873047,0.100011629760265
1015695.781,2.2919994354248,1999.89036132813,291.121154785156,0.0981966862082481
1015716.171,2.29954816818237,1999.89666015625,294.113189697266,0.100669855773449
1015736.171,2.30081443786621,1999.89713867187,297.098571777344,0.101440534293652
1015756.453,2.30064436912537,1999.87002929687,300.090606689453,0.102248617708683
1015776.593,2.30985303878784,1999.86420898438,303.082641601563,0.104275424778461
1015796.406,2.29946556091309,1999.88072265625,306.074676513672,0.103198919892311
1015816.25,2.30089205741882,1999.8980859375,309.066711425781,0.10318219691515
1015836.593,2.30001148223877,2000.16830566406,312.058746337891,0.102408263981342
1015856.359,2.30022226333618,2000.18525878906,315.05078125,0.101892859339714
1015876.156,2.30008242607117,2000.05597167969,318.036163330078,0.101228082180023
1015895.984,2.30006814956665,1999.87874023438,321.028198242188,0.100505382418633
1015915.718,2.29980088233948,1999.87633789063,324.020233154297,0.0994732427597046
1015935.656,2.29387216567993,1999.87247070312,327.012268066406,0.0972620981931686
1015956.171,2.30208151817322,1999.87583984375,330.004302978516,0.0968308445811272
1016383.265,2.49978318214417,1999.90392578125,-5.00225830078125,0.116595565378666
